"id_province","province","country"
1,"Sicily & Sardinia","Italy"
2,"Douro","Portugal"
3,"Oregon","US"
4,"Michigan","US"
5,"Northern Spain","Spain"
6,"Alsace","France"
7,"Rheinhessen","Germany"
8,"California","US"
9,"Mosel","Germany"
10,"Other","Argentina"
11,"Mendoza Province","Argentina"
12,"Virginia","US"
13,"Beaujolais","France"
14,"Colchagua Valley","Chile"
15,"Southern Italy","Italy"
16,"Maule Valley","Chile"
17,"Bordeaux","France"
18,"Maipo Valley","Chile"
19,"Washington","US"
20,"Central Italy","Italy"
21,"Champagne","France"
22,"Burgundy","France"
23,"South Australia","Australia"
24,"Tejo","Portugal"
25,"Rapel Valley","Chile"
26,"Galicia","Spain"
27,"France Other","France"
28,"Tuscany","Italy"
29,"Burgenland","Austria"
30,"New York","US"
31,"Leyda Valley","Chile"
32,"Piedmont","Italy"
33,"Stellenbosch","South Africa"
34,"Simonsberg-Stellenbosch","South Africa"
35,"Walker Bay","South Africa"
36,"Alentejano","Portugal"
37,"Central Spain","Spain"
38,"Southwest France","France"
39,"Aconcagua Valley","Chile"
40,"Loncomilla Valley","Chile"
41,"Marlborough","New Zealand"
42,"Northeastern Italy","Italy"
43,"Casablanca Valley","Chile"
44,"Veneto","Italy"
45,"Western Cape","South Africa"
46,"Judean Hills","Israel"
47,"Alentejo","Portugal"
48,"Coastal Region","South Africa"
49,"Rhône Valley","France"
50,"Galilee","Israel"
51,"Beira Atlantico","Portugal"
52,"Tokaj","Hungary"
53,"Leithaberg","Austria"
54,"Santorini","Greece"
55,"Kremstal","Austria"
56,"Catalonia","Spain"
57,"Recas","Romania"
58,"Hawke's Bay","New Zealand"
59,"Curicó Valley","Chile"
60,"Limarí Valley","Chile"
61,"Colchagua Costa","Chile"
62,"Languedoc-Roussillon","France"
63,"Provence","France"
64,"Victoria","Australia"
65,"Rheingau","Germany"
66,"Tokaji","Hungary"
67,"Naoussa","Greece"
68,"Valle de Guadalupe","Mexico"
69,"Central Valley","Chile"
70,"Lontué Valley","Chile"
71,"Italy Other","Italy"
72,"Weinviertel","Austria"
73,"Thermenregion","Austria"
74,"Niederösterreich","Austria"
75,"Wagram","Austria"
76,"Loire Valley","France"
77,"Lombardy","Italy"
78,"Ontario","Canada"
79,"Österreichischer Sekt","Austria"
80,"Kamptal","Austria"
81,"Steiermark","Austria"
82,"Südsteiermark","Austria"
83,"Crete","Greece"
84,"Vinho Verde","Portugal"
85,"Idaho","US"
86,"Western Australia","Australia"
87,"Levante","Spain"
88,"Martinborough","New Zealand"
89,"Central Otago","New Zealand"
90,"Lisboa","Portugal"
91,"Texas","US"
92,"Península de Setúbal","Portugal"
93,"Australia Other","Australia"
94,"Tasmania","Australia"
95,"Franken","Germany"
96,"Ahr","Germany"
97,"Nahe","Germany"
0," "," "
98,"Dealu Mare","Romania"
99,"Port","Portugal"
100,"Darling","South Africa"
101,"Chile","Chile"
102,"Südoststeiermark","Austria"
103,"Corinth","Greece"
104,"Halkidiki","Greece"
105,"Thrace","Turkey"
106,"Pfalz","Germany"
107,"Robertson","South Africa"
108,"Dan","Israel"
109,"Northwestern Italy","Italy"
110,"Andalucia","Spain"
111,"Awatere Valley","New Zealand"
112,"Wiener Gemischter Satz","Austria"
113,"Wachau","Austria"
114,"Pennsylvania","US"
115,"Swartland","South Africa"
116,"Dão","Portugal"
117,"Wagram-Donauland","Austria"
118,"Rio Claro","Chile"
119,"Villány","Hungary"
120,"Cachapoal Valley","Chile"
121,"Jidvei","Romania"
122,"America","US"
123,"Traisental","Austria"
124,"Bairrada","Portugal"
125,"Negev Hills","Israel"
126,"Ribatejano","Portugal"
127,"Duriense","Portugal"
128,"New Jersey","US"
129,"Beiras","Portugal"
