"words","avg_points","total_points","quantity"
"opposites",95.444,859,9
"cayuse",95.05,1901,20
"majestic",94.75,1516,16
"pinnacle",94.7,947,10
"grandest",94.667,852,9
"impossibly",94.583,1135,12
"masterpiece",94.545,1040,11
"uncompromising",94.429,1322,14
"gaja",94.333,1415,15
"quilceda",94.25,1131,12
"incarnation",94.222,848,9
"cabral",94.222,848,9
"ferreira",94.083,1129,12
"endless",94.061,4609,49
"93-95",94.0,3572,38
"stunningly",94.0,3290,35
"triumph",94.0,1598,17
"now–2030",93.975,3759,40
"incisive",93.957,2161,23
"breathtaking",93.909,1033,11
"“wow”",93.9,939,10
"unbelievably",93.889,845,9
"vaca",93.846,1220,13
"ultrafine",93.75,1875,20
"long-lived",93.733,2812,30
"supersweet",93.727,1031,11
"wondrous",93.667,3091,33
"divine",93.583,1123,12
"extraordinary",93.489,8227,88
"greatest",93.459,5701,61
"leonetti",93.45,1869,20
"magical",93.4,1868,20
"puligny",93.4,934,10
"best-of-barrels",93.4,934,10
"seville",93.379,2708,29
"marvel",93.368,1774,19
"stunning",93.362,26328,282
"performing",93.357,1307,14
"decades",93.339,11294,121
"betz",93.333,1120,12
"brain",93.3,933,10
"near-perfect",93.275,3731,40
"clendenen",93.273,2052,22
"wondrously",93.222,839,9
"magnificent",93.217,6432,69
"superbly",93.215,6059,65
"roederer",93.214,1305,14
"superb",93.21,25260,271
"greatness",93.185,2516,27
"katz",93.182,1025,11
"goldeneye",93.182,1025,11
"glorious",93.174,6429,69
"immense",93.16,15185,163
"outrageously",93.133,1397,15
"astonishing",93.132,3539,38
"absolute",93.128,4377,47
"spectacularly",93.125,1490,16
"monumental",93.125,1490,16
"sichuan",93.118,1583,17
"stunner",93.113,4935,53
"riches",93.111,838,9
"sassicaia",93.1,931,10
"maresh",93.1,931,10
"utter",93.05,3722,40
"memory",93.05,3722,40
"corton",93.036,2605,28
"92-94",93.0,7161,77
"2020s",93.0,2418,26
"riveting",93.0,1767,19
"magnificently",93.0,1767,19
"pritchard",93.0,1581,17
"ultrarefined",93.0,1488,16
"figgins",93.0,1488,16
"disarming",93.0,1488,16
"trey",93.0,930,10
"hillsides",93.0,930,10
"continually",93.0,837,9
"chambertin",93.0,837,9
"mesmerizing",92.964,2603,28
"cannubi",92.962,2417,26
"perfection",92.947,1766,19
"nickel",92.941,1580,17
"ungrafted",92.938,1487,16
"yarrow",92.923,1208,13
